exp,n_helis,seed,h_final,temps_ms
6,1,11,2709.3001,139
6,1,22,2831.9126,22
6,1,33,2399.0626,29
6,1,44,2524.6456,21
6,1,55,2752.1936,81
6,1,66,2614.1344,68
6,1,77,2440.1373,50
6,1,88,2735.5634,37
6,1,99,2445.7874,59
6,1,110,2722.5977,41
6,2,11,2623.4830,94
6,2,22,2790.6371,45
6,2,33,2309.4529,62
6,2,44,2398.4551,115
6,2,55,2708.8296,122
6,2,66,2549.3537,74
6,2,77,2411.6647,58
6,2,88,2673.1034,130
6,2,99,2383.8779,61
6,2,110,2675.5912,64
6,3,11,2553.0863,110
6,3,22,2724.7076,55
6,3,33,2250.9501,105
6,3,44,2365.9026,81
6,3,55,2577.1148,155
6,3,66,2515.7435,76
6,3,77,2347.7141,78
6,3,88,2645.5433,112
6,3,99,2334.1493,62
6,3,110,2614.6854,81
6,5,11,2505.1982,148
6,5,22,2643.4000,95
6,5,33,2160.7377,128
6,5,44,2223.1012,147
6,5,55,2470.3167,254
6,5,66,2394.0505,97
6,5,77,2233.4089,192
6,5,88,2520.9730,193
6,5,99,2209.9635,208
6,5,110,2483.1274,141
